Gender,Topic,Count,Category,Scope,N_Movies,Dominant_Movie,Dominant_Movie_Pct,Dominant_Movie_Award,Words
male,-1,7056,Outliers (no clear topic),outlier,56,Django Unchained,5.1,Original Screenplay,outliers (sin tema claro)
male,0,619,Family relationships,transversal,55,The Descendants,11,Adapted Screenplay,"girl, daughter, wife, want, woman, look, come, think, love, work"
male,1,422,Food and drink (everyday),transversal,54,Sideways,10,Adapted Screenplay,"water, chicken, wine, eat, drink, apple, fish, hand, cream, bottle"
male,2,371,Family (father-son),transversal,53,Spotlight,5.1,"Best Picture, Original Screenplay","father, son, come, guy, want, dad, man, little, make, look"
male,3,366,Race and racism,transversal,29,BlacKkKlansman,28.7,Adapted Screenplay,"nigger, black, white, white people, people, ass, black man, man, black people, want"
male,4,302,Nuclear science,specific,17,Oppenheimer,80.8,Best Picture,"bomb, atomic, scientist, weapon, atomic bomb, security, war, physics, reaction, atomic weapon"
male,5,250,Finance / 2008 crisis,specific,12,The Big Short,95.2,Adapted Screenplay,"bond, mortgage, bank, market, cdo, swap, housing, bet, mortgage bond, subprime"
male,6,245,Money and business,transversal,39,Django Unchained,15.1,Original Screenplay,"dollar, money, thousand dollar, thousand, pay, sell, make, business, make money, mandingo"
male,7,242,Religion / church,transversal,18,Conclave,44.6,Adapted Screenplay,"priest, church, sin, cardinal, catholic, report, nun, year, archdiocese, make cardinal"
male,8,191,LGBT political activism,specific,20,Milk,61.3,Original Screenplay,"gay, vote, candidate, district, city, homosexual, people, gay people, ballot, office"
male,9,189,Everyday social life,transversal,45,Manchester by the Sea,7.4,Original Screenplay,"room, come, stair, party, tomorrow, home, morning, car, hang, early"
male,10,189,Conflict / apology,transversal,50,The Social Network,6.3,Adapted Screenplay,"want, apologize, sure, understand, mad, speak, sabotage, shit, think, time"
male,11,161,Legal system,transversal,25,Spotlight,23,"Best Picture, Original Screenplay","lawyer, sue, client, case, court, jury, motion, doc, file, trial"
male,12,137,Music industry,specific,25,Almost Famous,41.6,Original Screenplay,"band, music, rock, song, play, record, roll, stage, record company, rock roll"
male,13,134,Philosophy / existential,transversal,37,Everything Everywhere All at Once,14.2,"Best Picture, Original Screenplay","universe, life, world, present, feel, mind, real, day, version, dream"
male,14,125,Work / young adult life,transversal,42,Spotlight,16,"Best Picture, Original Screenplay","guy, kid, good, job, story, student, transplantation, brain transplantation, frequently, remark"
male,15,118,Crime / police,transversal,34,The Departed,28.8,"Adapted Screenplay, Best Picture","cop, police, officer, spy, charge, informant, undercover, law enforcement, enforcement, secure"
male,16,112,Work / office,transversal,38,The Social Network,10.7,Adapted Screenplay,"job, interview, work, quit, member, boss, certificate, time, day"
male,17,104,Fear / danger,transversal,42,Django Unchained,9.6,Original Screenplay,"kill, scared, fear, afraid, razzle dazzle, razzle, person, dazzle, save, old razzle"
male,18,103,Technology / social media,specific,18,The Social Network,72.8,Adapted Screenplay,"student, thefacebook, site, social, online, friend, network, facebook, people, website"
male,19,94,Literature / writing,transversal,19,American Fiction,31.9,Adapted Screenplay,"book, read, write, novel, publish, write book, writer, fiction, think book, scholar"
male,20,89,Urban life,transversal,29,Midnight in Paris,14.6,Original Screenplay,"city, live, small, club, country, party, place, street boulevard, little whitcraft, finish novel"
male,21,87,Medicine / health,transversal,29,Manchester by the Sea,11.5,Original Screenplay,"doctor, heart, muscle, patient, disease, medicine, treatment, basically, remove, heal"
male,22,86,Honor / duty (period piece),specific,8,Gladiator,77.9,Best Picture,"day, honor, serve, spectacle, match, shall, duty, discharge duty, conquest, discharge"
male,23,82,Boxing,specific,6,Million Dollar Baby,90.2,Best Picture,"fight, fighter, title, manager, round, title fight, champ, punch, good, lightweight"
male,24,78,Slavery (plot-specific),specific,11,Django Unchained,55.1,Original Screenplay,"slave, horse, candyland, ranch, ride, plantation, slave trade, horse want, ride horse, trade"
male,25,74,Biblical language,transversal,15,12 Years a Slave,27,"Adapted Screenplay, Best Picture","unto, thy, shall, commandment, shalt love, love thy, shalt, law"
male,26,73,Marriage / wedding,transversal,32,Sideways,13.7,Adapted Screenplay,"wedding, relationship, marry, lucky, time, life, married, meet, lucky meet, sex"
male,27,68,Nazism / WWII (plot-specific),specific,13,Jojo Rabbit,42.6,Adapted Screenplay,"jewish, nazi, deny, force, training weekend, deny jewish, decree, home want, hive, area"
male,28,65,Armed violence,transversal,17,The Departed,23.1,"Adapted Screenplay, Best Picture"," shoot, gun, weapon, yes, bullet, head, hand, away, away weapon"
male,29,64,"Money (rupees, plot-specific)",specific,5,Slumdog Millionaire,93.8,"Adapted Screenplay, Best Picture","rupee, million rupee, million, thousand rupee, thousand, rupee million, sixteen thousand, sixteen, century, class century"
male,30,64,Cryptography (plot-specific),specific,9,The Imitation Game,56.2,Adapted Screenplay,"message, machine, decrypt, code, setting, operating, bit, break, microprocessor"
male,31,62,Drug trafficking (plot-specific),specific,10,Traffic,69.4,Adapted Screenplay,"drug, trafficker, coke, sheriff, kill, year, somebody, enforcement, law enforcement, truck"
male,32,60,Speech / stammering (plot-specific),transversal,32,The King's Speech,20,"Best Picture, Original Screenplay","voice, speak, hear, microphone, silence, silent, record, directional microphone, directional, hear look"
male,33,56,Epic fantasy (plot-specific),specific,4,The Lord of the Rings: The Return of the King,89.3,"Adapted Screenplay, Best Picture","king, doom, end come, celt, war, long, haste, end, river, save"
male,34,55,Filler / decision-making,transversal,31,Almost Famous,10.9,Original Screenplay,"let, slow, let slow, chance, let make, come time, time, opportunity, come"
male,35,54,Intense emotion,transversal,20,Birdman or (The Unexpected Virtue of Ignorance),14.8,"Best Picture, Original Screenplay","people love, beg people, end beg, feel, love, happy, shit, beg, look world, think use"
male,36,51,Everyday objects,transversal,25,The Hurt Locker,13.7,"Best Picture, Original Screenplay","door, lock, car, key, toy, replace lock, wrench, lock door, drawer, replace"
male,37,49,Diplomatic rescue (plot-specific),specific,10,Argo,75.5,"Adapted Screenplay, Best Picture","embassy, hostage, passport, airport, checkpoint, american, cover, canadian, execute, rumour"
